Command  Bindings _
ctrl+shift+;            New Node
ctrl+shift+e            Node Browser 
ctrl+shift+r            Toggle Traverse Mode
ctrl+shift+s.           Auto rename file from node metadata
ctrl+shift+/            Open node (from an ID on the same line) 
ctrl+shift+super+;      New inline node
ctrl+shift+[            New inline node from selection
ctrl+Et                  Insert timestamp
ctrl+shift+]            New dynamic node definition
ctrl+shift+t            Timeline view
ctrl+shift+-            Align selected lines to the right (120 character width)
                                                                                          
@018
